#1,,,,,,,,,,,,
#Western States Championships, Bullhead City AZ, Mar 19 and 20,2016
#Locked
#Game,Date,Day,Field,Time,Division,Home Section,Visiting Section,Referees Section,CR,AR1,AR2,4th
85,20-Mar, Sunday, Field 8, 9:00 AM, GU11Extra, 11WC/L/84 Mission Viejo, 1/F/16 North Torrance,Section 10,,,,
86,20-Mar, Sunday, Field 8, 11:00 AM, GU12Extra, 100/E/9 Thousand Oaks, 1WC/F/14 West Torrance,Section 11,,,,
87,20-Mar, Sunday, Field 8, 1:00 PM, GU11Extra CONSOLATION, Loser Field 7 @ 9, Loser Field 8 @ 9,,,,,
88,20-Mar, Sunday, Field 8, 3:00 PM, GU12Extra CONSOLATION, Loser Field 7 @ 11, Loser Field 8 @ 11,,,,,
89,20-Mar, Sunday, Field 3, 9:00 AM, GU13Extra, 11/K/55 North Huntington Beach, 1WC/U/112 La Verne/San Dimas,Section 10,,,,
90,20-Mar, Sunday, Field 3, 11:00 AM, GU14Extra, 2/C/305 Concord, 10/V/71 Woodland Hills,Section One,,,,
91,20-Mar, Sunday, Field 3, 1:00 PM, GU13Extra CHAMPIONSHIP, Winner Field 3 @ 9, Winner Field 4 @ 9,,,,,
92,20-Mar, Sunday, Field 3, 3:00 PM, GU14Extra CHAMPIONSHIP, Winner Field 3 @ 11, Winner Field 4 @ 11,,,,,
93,20-Mar, Sunday, Field 4, 9:00 AM, GU13Extra, 10/V/254 Burbank, 1/P/20 Santa Monica,Section 11,,,,
94,20-Mar, Sunday, Field 4, 11:00 AM, GU14Extra, 11/Z/114 Long Beach, 1/D/34 South Redondo Beach,Section 10,,,,
95,20-Mar, Sunday, Field 4, 1:00 PM, GU13Extra CONSOLATION, Loser Field 3 @ 9, Loser Field 4 @ 9,,,,,
96,20-Mar, Sunday, Field 4, 3:00 PM, GU14Extra CONSOLATION, Loser Field 3 @ 11, Loser Field 4 @ 11,,,,,
